team,ast_to,drb,efg,blk,ft_rate,fouls_poss,orb_pct,tov_pct,def.ast_to,def.efg,def.ft_rate,def.fouls_poss,def.orb_pct,def.tov_pct,win.,TeamID
kennesaw-state,1.8181818181818181,27,0.5267857142857143,6,0.21428571428571427,0.15122873345935728,0.3076923076923077,0.14945652173913046,1.8333333333333333,0.49230769230769234,0.03076923076923077,0.212443095599393,0.20588235294117646,0.08246289169873557,1,1244
oregon-state,0.3684210526315789,21,0.4727272727272727,3,0.4727272727272727,0.34571062740076824,0.35135135135135137,0.21148708815672307,0.9333333333333333,0.48214285714285715,0.44642857142857145,0.3543307086614173,0.3225806451612903,0.1763046544428773,0,1333
kent-state,0.9333333333333333,24,0.48214285714285715,3,0.44642857142857145,0.3543307086614173,0.3225806451612903,0.1763046544428773,0.3684210526315789,0.4727272727272727,0.4727272727272727,0.34571062740076824,0.35135135135135137,0.21148708815672307,1,1245
drexel,0.7777777777777778,21,0.3888888888888889,7,0.08333333333333333,0.2135991456034176,0.32653061224489793,0.1048462255358807,0.8666666666666667,0.5288461538461539,0.21153846153846154,0.22522522522522526,0.27586206896551724,0.20259319286871963,0,1180
loyola-md,0.8666666666666667,33,0.5288461538461539,9,0.21153846153846154,0.22522522522522526,0.27586206896551724,0.20259319286871963,0.7777777777777778,0.3888888888888889,0.08333333333333333,0.2135991456034176,0.32653061224489793,0.1048462255358807,1,1259
american,0.5625,16,0.4479166666666667,0,0.16666666666666666,0.2866842700867597,0.06896551724137931,0.2354326074161271,1.9166666666666667,0.7254901960784313,0.35294117647058826,0.18072289156626503,0.3333333333333333,0.1631321370309951,0,1110
marquette,1.9166666666666667,27,0.7254901960784313,4,0.35294117647058826,0.18072289156626503,0.3333333333333333,0.1631321370309951,0.5625,0.4479166666666667,0.16666666666666666,0.2866842700867597,0.06896551724137931,0.2354326074161271,1,1266
fairleigh-dickinson,0.7777777777777778,18,0.28169014084507044,2,0.14084507042253522,0.24283305227655985,0.2549019607843137,0.10392609699769054,0.8823529411764706,0.55,0.4,0.2176278563656148,0.3333333333333333,0.2204356846473029,0,1192
maryland,0.8823529411764706,38,0.55,6,0.4,0.2176278563656148,0.3333333333333333,0.2204356846473029,0.7777777777777778,0.28169014084507044,0.14084507042253522,0.24283305227655985,0.2549019607843137,0.10392609699769054,1,1268
long-beach-state,0.9375,13,0.4406779661016949,1,0.13559322033898305,0.22464022464022465,0.28125,0.2004008016032064,2.5454545454545454,0.7109375,0.171875,0.2168413444163354,0.48,0.13627353815659068,0,1253
michigan-state,2.5454545454545454,23,0.7109375,10,0.171875,0.2168413444163354,0.48,0.13627353815659068,0.9375,0.4406779661016949,0.13559322033898305,0.22464022464022465,0.28125,0.2004008016032064,1,1277
lipscomb,1.2307692307692308,23,0.5,5,0.35185185185185186,0.25903203817314246,0.1935483870967742,0.16573176950535443,0.8823529411764706,0.45689655172413796,0.1896551724137931,0.3377237419790611,0.30303030303030304,0.20393474088291746,1,1252
navy,0.8823529411764706,25,0.45689655172413796,0,0.1896551724137931,0.3377237419790611,0.30303030303030304,0.20393474088291746,1.2307692307692308,0.5,0.35185185185185186,0.25903203817314246,0.1935483870967742,0.16573176950535443,0,1298
north-dakota-state,1.6363636363636365,32,0.7407407407407407,1,0.37037037037037035,0.28046744574290483,0.08695652173913043,0.14473684210526316,0.5714285714285714,0.3870967741935484,0.24193548387096775,0.2781456953642384,0.23809523809523808,0.16509433962264153,1,1295
north-carolina-wilmington,0.5714285714285714,21,0.3870967741935484,1,0.24193548387096775,0.2781456953642384,0.23809523809523808,0.16509433962264153,1.6363636363636365,0.7407407407407407,0.37037037037037035,0.28046744574290483,0.08695652173913043,0.14473684210526316,0,1423
southeastern-louisiana,0.9375,29,0.3358208955223881,2,0.07462686567164178,0.14157014157014156,0.22916666666666666,0.1812415043044857,1.8333333333333333,0.4855072463768116,0.2753623188405797,0.10603048376408217,0.2564102564102564,0.07085498346717052,0,1368
notre-dame,1.8333333333333333,37,0.4855072463768116,10,0.2753623188405797,0.10603048376408217,0.2564102564102564,0.07085498346717052,0.9375,0.3358208955223881,0.07462686567164178,0.14157014157014156,0.22916666666666666,0.1812415043044857,1,1323
iona,0.6428571428571429,24,0.5754716981132075,5,0.24528301886792453,0.2978723404255319,0.24,0.18469656992084432,1.625,0.45454545454545453,0.30303030303030304,0.2766251728907331,0.38461538461538464,0.09267840593141799,0,1233
rhode-island,1.625,19,0.45454545454545453,3,0.30303030303030304,0.2766251728907331,0.38461538461538464,0.09267840593141799,0.6428571428571429,0.5754716981132075,0.24528301886792453,0.2978723404255319,0.24,0.18469656992084432,1,1348
lehigh,0.8666666666666667,26,0.44366197183098594,2,0.09859154929577464,0.22422921208346308,0.2702702702702703,0.16674077367718987,1.1666666666666667,0.546875,0.21875,0.15984015984015984,0.2571428571428571,0.1437470052707235,0,1250
saint-francis-pa,1.1666666666666667,27,0.546875,3,0.21875,0.15984015984015984,0.2571428571428571,0.1437470052707235,0.8666666666666667,0.44366197183098594,0.09859154929577464,0.22422921208346308,0.2702702702702703,0.16674077367718987,1,1384
charlotte,1.8888888888888888,20,0.5333333333333333,2,0.2,0.18964259664478483,0.24324324324324326,0.11700468018720749,1.7272727272727273,0.5555555555555556,0.12698412698412698,0.18024263431542462,0.3103448275862069,0.13647642679900746,0,1150
south-florida,1.7272727272727273,28,0.5555555555555556,4,0.12698412698412698,0.18024263431542462,0.3103448275862069,0.13647642679900746,1.8888888888888888,0.5333333333333333,0.2,0.18964259664478483,0.24324324324324326,0.11700468018720749,1,1378
stephen-f-austin,2.5833333333333335,29,0.68125,6,0.0875,0.22686567164179106,0.52,0.12448132780082986,0.5714285714285714,0.4666666666666667,0.16666666666666666,0.09791921664626682,0.14705882352941177,0.24339360222531292,1,1372
troy,1.2222222222222223,26,0.45901639344262296,4,0.39344262295081966,0.16842105263157894,0.3939393939393939,0.10817307692307691,1.2307692307692308,0.49230769230769234,0.046153846153846156,0.3531073446327684,0.2972972972972973,0.15947006869479882,1,1407
quinnipiac,2.5,16,0.5803571428571429,1,0.14285714285714285,0.2851485148514851,0.2222222222222222,0.08746355685131196,1.8571428571428572,0.6634615384615384,0.21153846153846154,0.27061310782241016,0.30434782608695654,0.10670731707317074,0,1346
vermont,1.8571428571428572,21,0.6634615384615384,2,0.21153846153846154,0.27061310782241016,0.30434782608695654,0.10670731707317074,2.5,0.5803571428571429,0.14285714285714285,0.2851485148514851,0.2222222222222222,0.08746355685131196,1,1436
longwood,0.3125,18,0.45,1,0.22,0.29607698001480387,0.22580645161290322,0.21645021645021645,2,0.5952380952380952,0.1746031746031746,0.24024024024024027,0.45454545454545453,0.13573543928923987,0,1255
grand-canyon,2,24,0.5952380952380952,7,0.1746031746031746,0.24024024024024027,0.45454545454545453,0.13573543928923987,0.3125,0.45,0.22,0.29607698001480387,0.22580645161290322,0.21645021645021645,1,1213
tennessee-tech,0.625,25,0.4140625,4,0.09375,0.2694509936005389,0.2682926829268293,0.1885902876001886,1.7,0.5074626865671642,0.2835820895522388,0.1821138211382114,0.32432432432432434,0.11363636363636363,0,1399
indiana,1.7,30,0.5074626865671642,10,0.2835820895522388,0.1821138211382114,0.32432432432432434,0.11363636363636363,0.625,0.4140625,0.09375,0.2694509936005389,0.2682926829268293,0.1885902876001886,1,1231
oral-roberts,1.1538461538461537,25,0.4166666666666667,4,0.12121212121212122,0.26874115983026875,0.358974358974359,0.15424774560987187,1.8888888888888888,0.42857142857142855,0.36507936507936506,0.18842530282637954,0.3055555555555556,0.10673624288425049,0,1331
minnesota,1.8888888888888888,25,0.42857142857142855,7,0.36507936507936506,0.18842530282637954,0.3055555555555556,0.10673624288425049,1.1538461538461537,0.4166666666666667,0.12121212121212122,0.26874115983026875,0.358974358974359,0.15424774560987187,1,1278
montana-state,0.7142857142857143,23,0.4295774647887324,2,0.14084507042253522,0.3073967339097022,0.3333333333333333,0.1513840830449827,1.0666666666666667,0.6320754716981132,0.32075471698113206,0.26515151515151514,0.14814814814814814,0.1827485380116959,0,1286
nebraska-omaha,1.0666666666666667,30,0.6320754716981132,2,0.32075471698113206,0.26515151515151514,0.14814814814814814,0.1827485380116959,0.7142857142857143,0.4295774647887324,0.14084507042253522,0.3073967339097022,0.3333333333333333,0.1513840830449827,1,1303
illinois-chicago,0.35294117647058826,27,0.4732142857142857,6,0.17857142857142858,0.29350104821802936,0.2777777777777778,0.21008403361344538,1.1111111111111112,0.46551724137931033,0.25862068965517243,0.26416405978449775,0.18181818181818182,0.116701244813278,0,1227
northern-illinois,1.1111111111111112,26,0.46551724137931033,1,0.25862068965517243,0.26416405978449775,0.18181818181818182,0.116701244813278,0.35294117647058826,0.4732142857142857,0.17857142857142858,0.29350104821802936,0.2777777777777778,0.21008403361344538,1,1296
portland,2.4285714285714284,24,0.5948275862068966,2,0.1896551724137931,0.2220577350111029,0.1935483870967742,0.09599561162918266,1.25,0.5789473684210527,0.15789473684210525,0.23323615160349856,0.25,0.15781167806417673,1,1339
sacramento-state,1.25,25,0.5789473684210527,2,0.15789473684210525,0.23323615160349856,0.25,0.15781167806417673,2.4285714285714284,0.5948275862068966,0.1896551724137931,0.2220577350111029,0.1935483870967742,0.09599561162918266,0,1170
south-dakota,1.6,31,0.68,8,0.4,0.09174311926605504,0.2727272727272727,0.1417233560090703,0.46153846153846156,0.33636363636363636,0.09090909090909091,0.258751902587519,0.20512820512820512,0.1774017467248908,1,1377
cal-poly,0.6470588235294118,24,0.4090909090909091,4,0.2,0.3236018290538164,0.23684210526315788,0.21389028686462003,1.2142857142857142,0.5083333333333333,0.26666666666666666,0.2585034013605442,0.29411764705882354,0.16908212560386474,0,1142
texas-arlington,1.2142857142857142,29,0.5083333333333333,5,0.26666666666666666,0.2585034013605442,0.29411764705882354,0.16908212560386474,0.6470588235294118,0.4090909090909091,0.2,0.3236018290538164,0.23684210526315788,0.21389028686462003,1,1426
connecticut,0.2777777777777778,23,0.4537037037037037,2,0.16666666666666666,0.27055891776432894,0.22580645161290322,0.2342529932326913,1.0769230769230769,0.59,0.28,0.19395747855277878,0.17857142857142858,0.18217488789237668,0,1163
arizona,1.0769230769230769,24,0.59,5,0.28,0.19395747855277878,0.17857142857142858,0.18217488789237668,0.2777777777777778,0.4537037037037037,0.16666666666666666,0.27055891776432894,0.22580645161290322,0.2342529932326913,1,1112
idaho-state,1.5833333333333333,17,0.5789473684210527,2,0.08771929824561403,0.31757488271382167,0.14814814814814814,0.1644736842105263,1.6666666666666667,0.65625,0.4583333333333333,0.15203344735841884,0.22727272727272727,0.12901376146788993,0,1226
brigham-young,1.6666666666666667,23,0.65625,3,0.4583333333333333,0.15203344735841884,0.22727272727272727,0.12901376146788993,1.5833333333333333,0.5789473684210527,0.08771929824561403,0.31757488271382167,0.14814814814814814,0.1644736842105263,1,1140
idaho,0.9090909090909091,27,0.4262295081967213,2,0.11475409836065574,0.25477707006369427,0.2222222222222222,0.14073694984646878,1,0.4098360655737705,0.2786885245901639,0.2536104262064107,0.25,0.11357900050479557,0,1225
